International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index"
,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,,,,,,,,,63.52,71.58,76.44,83.07,105.02,97.87,100.00,111.80,119.01,127.80,133.77,132.88,138.71,145.61,146.52,149.90,,,
ALB,45.94,61.18,73.81,74.10,74.14,76.44,82.38,82.78,84.67,86.67,88.73,91.33,94.36,96.50,100.00,103.43,105.53,107.58,109.32,111.40,112.82,115.06,117.39,119.05,120.98,123.45,131.75
DZA,61.63,65.16,68.39,70.20,70.44,73.41,74.46,77.63,80.71,81.83,83.72,86.80,91.01,96.24,100.00,104.52,113.82,117.52,120.95,126.74,134.84,142.38,148.46,151.36,155.02,166.22,181.62
AGO,0.03,0.09,0.20,0.68,2.91,7.35,15.35,30.42,43.67,53.69,60.84,68.29,76.81,87.36,100.00,113.48,125.15,136.13,146.04,159.70,208.73,271.02,324.22,379.60,464.14,583.68,
AIA,62.53,62.59,64.24,65.28,68.36,71.55,71.93,74.24,77.47,81.04,87.88,91.77,98.61,97.94,100.00,104.72,106.20,106.36,106.09,105.05,104.51,105.86,106.26,107.12,106.61,108.53,
ATG,,,79.57,80.46,81.08,82.22,84.20,85.88,87.62,89.46,91.06,92.35,97.28,96.74,100.00,103.46,106.95,108.08,109.26,110.32,109.78,112.45,113.81,115.44,116.16,118.56,127.48
ARM,52.56,59.90,65.10,65.52,65.00,67.05,67.76,70.96,75.89,76.38,78.59,82.05,89.40,92.44,100.00,107.65,110.40,116.80,120.28,124.77,123.01,124.21,127.34,129.18,130.74,140.13,152.24
ABW,64.51,66.45,67.69,69.23,72.03,74.11,76.57,79.36,81.37,84.14,87.17,91.87,100.10,97.96,100.00,104.32,104.97,102.48,102.91,103.40,102.44,101.39,105.06,109.53,,,
AUS,69.41,69.56,70.16,71.20,74.38,77.65,79.97,82.15,84.08,86.34,89.41,91.49,95.47,97.16,100.00,103.30,105.12,107.70,110.38,112.04,113.48,115.69,117.90,119.80,120.81,124.27,132.47
