International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate"
,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,47.50,47.50,47.50,46.62,47.36,47.50,47.26,48.76,47.85,49.49,49.93,49.96,50.25,50.33,46.45,46.75,50.92,55.38,57.25,61.14,67.87,68.03,72.08,77.74,76.81,,
ALB,104.50,148.93,150.63,137.69,143.71,143.48,140.15,121.86,102.78,99.87,98.10,90.43,83.89,94.98,103.94,100.90,108.18,105.67,105.48,125.96,124.14,119.10,107.99,109.85,108.65,103.52,113.04
DZA,54.75,57.71,58.74,66.57,75.26,77.22,79.68,77.39,72.06,73.28,72.65,69.29,64.58,72.65,74.39,72.94,77.54,79.37,80.58,100.69,109.44,110.97,116.59,119.35,126.78,135.06,141.99
AND,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.95
AGO,0.13,0.23,0.39,2.79,10.04,22.06,43.53,74.61,83.54,87.16,80.37,76.71,75.03,79.33,91.91,93.93,95.47,96.52,98.30,120.06,163.66,165.92,252.86,364.83,578.26,631.44,460.57
AIA,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
ATG,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
ARG,1.00,1.00,1.00,1.00,1.00,1.00,3.06,2.90,2.92,2.90,3.05,3.10,3.14,3.71,3.90,4.11,4.54,5.46,8.08,9.23,14.76,16.56,28.09,48.15,70.54,94.99,130.62
ARM,414.04,490.85,504.92,535.06,539.53,555.08,573.35,578.76,533.45,457.69,416.04,342.08,305.97,363.28,373.66,372.50,401.76,409.63,415.92,477.92,480.49,482.72,482.99,480.45,489.01,503.77,435.67
ABW,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
AUS,1.28,1.35,1.59,1.55,1.72,1.93,1.84,1.54,1.36,1.31,1.33,1.20,1.19,1.28,1.09,0.97,0.97,1.04,1.11,1.33,1.35,1.30,1.34,1.44,1.45,1.33,1.44
AUT,10.59,12.20,12.38,,,,,,,,,,,,,,,,,,,,,,,,
AZE,0.86,0.80,0.77,0.82,0.89,0.93,0.97,0.98,0.98,0.95,0.89,0.86,0.82,0.80,0.80,0.79,0.79,0.78,0.78,1.02,1.60,1.72,1.70,1.70,1.70,1.70,1.70
BHS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
BHR,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
BGD,41.79,43.89,46.91,49.09,52.14,55.81,57.89,58.15,59.51,64.33,68.93,68.87,68.60,69.04,69.65,74.15,81.86,78.10,77.64,77.95,78.47,80.44,83.47,84.45,84.87,85.08,91.75
BRB,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
BLR,0.00,0.00,0.00,0.02,0.09,0.14,0.18,0.21,0.22,0.22,0.21,0.21,0.21,0.28,0.30,0.50,0.83,0.89,1.02,1.59,1.99,1.93,2.04,2.09,2.44,2.54,2.63
BEL,30.96,35.77,36.30,,,,,,,,,,,,,,,,,,,,,,,,
,30.96,35.77,36.30,,,,,,,,,,,,,,,,,,,,,,,,
