International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index"
,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,,,,,,,49.84,56.44,62.74,69.48,74.79,81.57,95.07,92.51,100.00,110.34,119.66,122.35,126.20,129.56,126.44,129.48,132.16,140.78,151.79,152.59,
ALB,,,,,,,,,,,,,,95.70,100.00,102.31,103.38,103.68,105.29,105.88,105.21,106.74,108.31,109.67,110.42,116.96,
AND,,,,,77.88,80.28,82.88,85.51,88.11,91.11,94.26,97.28,99.50,99.63,100.00,100.20,100.37,100.82,100.74,101.40,101.76,102.91,103.95,105.38,106.56,108.79,
AGO,,,,,,,,147.26,101.33,108.11,88.86,79.21,90.65,63.21,100.00,100.06,81.45,78.09,78.64,73.26,92.47,93.11,98.01,90.51,,,
AIA,71.78,72.78,74.45,76.55,78.77,79.46,83.95,85.69,88.96,89.56,92.38,101.87,103.10,100.74,100.00,104.85,107.26,108.62,114.21,117.56,116.88,110.73,115.22,128.82,125.07,126.32,
ATG,77.28,78.69,80.35,81.56,82.83,84.06,84.65,83.92,85.21,89.01,89.37,92.71,96.77,98.55,100.00,101.02,103.07,102.10,104.05,107.19,109.20,108.18,110.73,110.96,112.89,115.13,
ARG,,,,,,,,,40.35,44.51,50.63,58.20,71.68,82.70,100.00,123.70,151.31,187.54,263.09,333.02,469.96,592.18,841.09,"1,254.87","1,757.79","2,709.67","4,597.85"
AUS,63.35,64.21,64.55,65.36,68.12,70.48,72.59,74.68,77.41,80.99,85.02,88.81,94.60,94.80,100.00,104.73,104.00,105.39,105.70,104.96,106.04,109.79,112.28,115.86,116.83,123.28,133.08
AUT,81.34,82.37,82.73,82.94,84.07,85.71,86.69,87.83,89.35,91.62,93.36,95.43,97.30,99.13,100.00,101.83,103.93,105.61,107.91,110.39,112.43,113.56,115.65,117.44,120.45,122.79,128.89
BHS,,78.64,81.04,85.05,85.83,86.14,89.55,90.58,91.66,96.30,97.10,99.96,101.45,100.39,100.00,99.14,102.38,103.85,107.88,113.37,114.09,115.61,117.19,118.95,114.80,116.66,
BHR,,,,,,,,,,,,,106.97,93.08,100.00,109.74,113.04,113.48,111.58,101.26,101.50,107.11,111.78,111.88,105.72,115.76,
BGD,49.62,51.51,53.95,55.98,57.91,59.80,62.13,65.74,68.74,71.90,76.12,81.05,87.42,93.33,100.00,107.86,116.67,125.04,132.12,139.88,149.29,156.83,165.94,172.01,178.61,185.97,
BLR,0.29,0.50,0.89,3.70,10.94,19.65,28.47,37.20,45.64,54.27,60.11,67.82,82.17,86.87,100.00,170.77,299.19,362.72,428.41,497.05,538.51,584.95,428.41,465.15,520.40,600.16,
BEL,79.48,80.08,81.53,82.02,83.67,85.33,86.73,88.33,90.02,91.90,93.98,95.79,97.62,98.14,100.00,101.81,103.80,105.12,106.16,107.57,109.63,111.64,113.37,115.37,117.11,120.54,128.59
BLZ,89.83,88.39,89.62,87.71,88.83,88.17,88.88,85.61,87.58,90.13,93.24,96.84,100.25,97.88,100.00,104.77,105.53,107.65,108.95,108.97,111.20,114.53,114.69,114.57,113.87,118.39,
BEN,,,,74.26,77.48,79.01,81.82,84.32,84.97,88.62,90.47,90.83,96.67,99.13,100.00,103.73,111.72,113.28,113.00,113.96,114.74,114.32,115.09,114.63,117.93,119.84,
BTN,,,,,,,,,,,,,,,100.00,108.51,118.47,125.42,134.11,138.88,144.96,152.37,155.05,156.44,167.74,175.63,
BIH,,,,,66.21,69.34,72.81,73.84,75.44,80.10,86.35,91.70,98.43,98.61,100.00,102.43,103.25,103.02,104.05,105.47,106.95,108.77,111.75,114.69,114.90,116.89,
BWA,,,,,,,,,,,69.57,73.76,80.68,92.87,100.00,112.65,116.05,117.82,129.14,133.95,149.90,145.93,146.02,146.76,153.18,165.97,190.13
BRA,34.36,37.01,38.84,41.95,44.30,47.94,52.64,60.06,64.71,69.52,74.23,79.01,85.95,92.23,100.00,108.32,116.92,125.70,135.56,145.82,157.63,163.42,170.76,177.98,189.50,211.07,228.55
BGR,3.90,39.55,52.98,54.74,58.78,62.38,64.78,66.20,69.89,74.50,79.53,88.32,95.48,99.24,100.00,106.11,107.29,107.37,108.81,112.02,115.74,121.30,126.44,133.06,138.73,148.62,
BFA,,,,75.61,74.99,77.96,80.35,81.54,81.61,84.66,84.10,86.20,94.09,96.36,100.00,106.74,112.95,110.55,109.86,107.42,110.22,111.78,112.85,114.66,122.49,121.47,
BDI,16.41,21.29,23.73,28.61,36.14,41.26,42.54,45.90,52.47,60.29,62.00,67.13,83.39,91.81,100.00,108.36,123.85,133.71,140.80,170.84,172.48,192.22,186.74,188.28,199.50,216.45,
CPV,,,,,,,,,,,,94.05,97.38,99.50,100.00,102.68,103.24,104.72,104.57,106.38,106.13,106.86,108.49,109.10,108.16,110.68,
KHM,56.99,60.41,66.67,67.51,64.20,66.33,66.81,68.01,71.29,75.62,79.12,84.28,94.60,96.97,100.00,103.36,104.78,107.14,108.94,110.32,114.21,118.04,121.72,125.66,124.81,126.39,
CYM,,,,,,,,,,,93.77,96.65,99.60,100.21,100.00,99.54,100.80,102.18,103.09,103.44,104.48,106.55,109.39,113.11,113.28,116.25,
CAF,65.88,69.33,71.88,73.58,73.60,76.76,78.12,80.59,80.82,84.56,87.08,87.58,92.38,95.96,100.00,104.01,110.44,113.19,126.65,130.08,133.95,142.58,144.42,147.96,150.72,155.69,
TCD,49.87,51.76,55.25,51.07,53.77,61.19,62.35,62.39,68.47,84.27,92.63,95.81,104.03,94.16,100.00,108.41,109.87,105.29,106.10,97.64,96.57,95.77,97.98,99.53,97.39,104.42,
CHL,52.23,53.97,54.39,55.58,58.12,60.60,62.63,65.32,69.91,74.89,84.13,88.42,88.69,91.86,100.00,103.26,104.05,106.40,112.63,118.21,123.60,129.57,131.63,135.01,148.03,158.09,168.59
HKG,113.15,119.67,121.13,116.17,112.22,110.23,106.48,100.09,96.49,96.35,95.83,98.84,100.11,99.73,100.00,103.90,107.58,109.53,112.65,116.76,118.67,122.09,126.56,129.14,129.97,130.85,133.68
MAC,,,,,,69.01,68.09,68.12,69.44,73.31,78.98,85.90,94.56,95.43,100.00,107.49,114.93,123.82,134.63,140.70,141.92,144.97,150.10,153.71,153.34,152.44,
COL,,,,,,,,,,77.24,81.72,85.97,92.57,96.33,100.00,106.39,110.23,112.34,114.85,117.66,123.72,130.07,136.09,141.54,143.64,154.65,176.59
COM,,,,,,,,,,,,98.35,101.45,99.32,100.00,101.35,102.55,100.08,99.17,97.84,100.04,98.75,100.16,102.49,99.00,,
COD,0.08,0.24,0.32,1.71,10.64,18.42,24.26,27.52,29.27,38.01,43.07,51.81,62.41,82.79,100.00,113.79,120.55,123.89,125.12,123.68,129.06,184.64,239.74,249.33,266.13,312.86,
COG,35.90,37.41,30.27,38.70,54.92,49.80,51.39,49.39,59.43,70.91,78.98,84.30,98.01,77.27,100.00,110.95,123.56,122.20,114.18,94.09,90.26,101.15,124.83,123.98,106.92,126.89,
CRI,23.08,26.47,29.63,32.90,35.99,39.49,43.35,47.97,54.37,61.45,69.42,76.72,85.49,93.78,100.00,104.59,109.54,114.57,121.68,126.50,128.97,132.66,135.57,139.05,140.12,142.90,151.13
CIV,62.07,64.69,67.04,67.57,69.08,74.19,79.14,82.94,80.54,81.59,83.01,85.45,92.71,94.89,100.00,103.30,105.21,108.73,112.98,116.49,114.05,111.95,112.66,112.89,114.00,117.19,
HRV,55.89,59.73,64.61,66.87,69.77,72.73,75.52,78.77,81.63,84.17,87.45,91.19,96.21,99.08,100.00,101.67,103.11,103.87,104.03,104.11,104.05,105.26,107.39,109.53,110.34,112.58,122.58
CYP,69.21,70.76,72.15,73.81,75.84,78.61,78.85,83.09,85.35,87.07,89.76,93.47,97.90,98.15,100.00,101.62,103.32,102.35,100.98,100.22,99.65,100.68,101.69,103.04,101.79,104.71,111.48
CZE,65.57,71.01,77.98,80.35,81.83,85.83,88.17,89.31,92.93,93.02,93.62,96.94,98.89,101.45,100.00,99.98,101.43,102.81,105.47,106.51,107.73,109.14,111.94,116.29,121.31,125.35,135.86
DNK,73.13,74.60,75.52,76.80,79.11,81.11,83.01,84.24,86.01,88.51,90.34,92.54,96.37,96.88,100.00,100.64,103.03,103.94,105.02,105.47,105.74,106.99,107.79,108.92,111.76,114.86,123.56
