Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
H0,BRA,1201,Brazil,AFG,Afghanistan,2020,Export,6,1474.365
H0,BRA,1201,Brazil,AGO,Angola,1989,Export,6,8509.481
H0,BRA,1201,Brazil,AGO,Angola,1990,Export,6,1
H0,BRA,1201,Brazil,AGO,Angola,1991,Export,6,3.587
H0,BRA,1201,Brazil,AGO,Angola,1997,Export,6,11.574
H0,BRA,1201,Brazil,AGO,Angola,2004,Export,6,25.481
H0,BRA,1201,Brazil,AGO,Angola,2005,Export,6,6.75
H0,BRA,1201,Brazil,AGO,Angola,2006,Export,6,54.746
H0,BRA,1201,Brazil,AGO,Angola,2007,Export,6,53.865
H0,BRA,1201,Brazil,AGO,Angola,2008,Export,6,154.3
H0,BRA,1201,Brazil,AGO,Angola,2009,Export,6,128.276
H0,BRA,1201,Brazil,AGO,Angola,2010,Export,6,8.443
H0,BRA,1201,Brazil,AGO,Angola,2011,Export,6,349.275
H0,BRA,1201,Brazil,AGO,Angola,2012,Export,6,152.965
H0,BRA,1201,Brazil,AGO,Angola,2013,Export,6,51.071
H0,BRA,1201,Brazil,AGO,Angola,2014,Export,6,113.311
H0,BRA,1201,Brazil,AGO,Angola,2015,Export,6,3.13
H0,BRA,1201,Brazil,AGO,Angola,2016,Export,6,97.441
H0,BRA,1201,Brazil,AGO,Angola,2017,Export,6,158.962
H0,BRA,1201,Brazil,AGO,Angola,2019,Export,6,6.473
H0,BRA,1201,Brazil,AGO,Angola,2020,Export,6,209.182
H0,BRA,1201,Brazil,AGO,Angola,2021,Export,6,670.13
H0,BRA,1201,Brazil,AIA,Anguila,1992,Export,6,1643.969
H0,BRA,1201,Brazil,ANT,Netherlands Antilles,1994,Export,6,236.089
H0,BRA,1201,Brazil,ANT,Netherlands Antilles,1996,Export,6,3749.368
H0,BRA,1201,Brazil,ARE,United Arab Emirates,2004,Export,6,36558.94
H0,BRA,1201,Brazil,ARE,United Arab Emirates,2005,Export,6,12966.624
H0,BRA,1201,Brazil,ARE,United Arab Emirates,2006,Export,6,38427.761
H0,BRA,1201,Brazil,ARE,United Arab Emirates,2007,Export,6,37324.414
H0,BRA,1201,Brazil,ARE,United Arab Emirates,2011,Export,6,33.476
H0,BRA,1201,Brazil,ARE,United Arab Emirates,2013,Export,6,14884.315
H0,BRA,1201,Brazil,ARE,United Arab Emirates,2014,Export,6,23981.037
H0,BRA,1201,Brazil,ARG,Argentina,1991,Export,6,366.959
H0,BRA,1201,Brazil,ARG,Argentina,1992,Export,6,799.545
H0,BRA,1201,Brazil,ARG,Argentina,1993,Export,6,2.3
H0,BRA,1201,Brazil,ARG,Argentina,1997,Export,6,8528.544
H0,BRA,1201,Brazil,ARG,Argentina,1998,Export,6,80.5
H0,BRA,1201,Brazil,ARG,Argentina,2000,Export,6,87.012
H0,BRA,1201,Brazil,ARG,Argentina,2002,Export,6,139.925
H0,BRA,1201,Brazil,ARG,Argentina,2003,Export,6,5409.7
H0,BRA,1201,Brazil,ARG,Argentina,2004,Export,6,4151.501
H0,BRA,1201,Brazil,ARG,Argentina,2005,Export,6,3538.879
H0,BRA,1201,Brazil,ARG,Argentina,2006,Export,6,7141.805
H0,BRA,1201,Brazil,ARG,Argentina,2008,Export,6,6.985
H0,BRA,1201,Brazil,ARG,Argentina,2009,Export,6,4613.536
H0,BRA,1201,Brazil,ARG,Argentina,2011,Export,6,0.307
H0,BRA,1201,Brazil,ARG,Argentina,2012,Export,6,846.568
H0,BRA,1201,Brazil,ARG,Argentina,2013,Export,6,623.801
H0,BRA,1201,Brazil,ARG,Argentina,2014,Export,6,1263.165
H0,BRA,1201,Brazil,ARG,Argentina,2015,Export,6,125.009
H0,BRA,1201,Brazil,ARG,Argentina,2016,Export,6,6959.277
H0,BRA,1201,Brazil,ARG,Argentina,2017,Export,6,60432.077
H0,BRA,1201,Brazil,ARG,Argentina,2018,Export,6,245864.636
H0,BRA,1201,Brazil,ARG,Argentina,2019,Export,6,119679.53
H0,BRA,1201,Brazil,ARG,Argentina,2020,Export,6,124562.437
H0,BRA,1201,Brazil,ARG,Argentina,2021,Export,6,90842.375
H0,BRA,1201,Brazil,AUS,Australia,1996,Export,6,2109.8
H0,BRA,1201,Brazil,AUS,Australia,2007,Export,6,2221.582
H0,BRA,1201,Brazil,AUS,Australia,2008,Export,6,49160.283
H0,BRA,1201,Brazil,BEL,Belgium,1999,Export,6,75582.804
H0,BRA,1201,Brazil,BEL,Belgium,2000,Export,6,58716.748
H0,BRA,1201,Brazil,BEL,Belgium,2001,Export,6,139905.231
H0,BRA,1201,Brazil,BEL,Belgium,2002,Export,6,124590.762
H0,BRA,1201,Brazil,BEL,Belgium,2003,Export,6,148140.395
H0,BRA,1201,Brazil,BEL,Belgium,2004,Export,6,38023.605
H0,BRA,1201,Brazil,BEL,Belgium,2005,Export,6,7827.252
H0,BRA,1201,Brazil,BEL,Belgium,2006,Export,6,104112.705
H0,BRA,1201,Brazil,BEL,Belgium,2007,Export,6,139106.188
H0,BRA,1201,Brazil,BEL,Belgium,2008,Export,6,70877.368
H0,BRA,1201,Brazil,BEL,Belgium,2009,Export,6,102048.552
