Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
AFG,Afghanistan,5,0,5,235.24,0,235.24,0,0,0,0,0.033248,0,0.003502,0.5,0.150656,0,0
AGO,Angola,9,0,9,426.132,0,426.132,0,0,0,0,0.04185,0,0.006121,0.208333,0.17078,0,1
ALB,Albania,7,3,10,2298.658,51.038,2349.696,4,0.372583,0.394654,21.543175,0.043252,0.017328,0.006305,0.541667,0.192782,0,107
ARE,United Arab Emirates,22,19,41,3874.922,66812.803,70687.725,4,0.419802,0.467767,1333.035601,0.119272,0.075214,0.014856,0.263866,0.619156,0,107
ARG,Argentina,6,13,19,1399.497,4835.057,6234.554,3,0.451064,0.484277,91.173681,0.041126,0.048206,0.003253,0.294118,0.152834,0,107
ARM,Armenia,7,0,7,2266.207,0,2266.207,0,0,0,0,0.047701,0,0.005154,0.404762,0.205117,0,48
AUS,Australia,23,32,55,19336.943,32952.988,52289.931,3,0.471111,0.529874,908.73728,0.131819,0.121093,0.009131,0.212805,0.698626,0,107
AUT,Austria,16,48,64,49406.469,84640.899,134047.368,4,0.493023,0.571541,282.237278,0.116532,0.222849,0.006361,0.213878,0.60764,0,107
AZE,Azerbaijan,4,0,4,2054.627,0,2054.627,0,0,0,0,0.020889,0,0.004114,0.333333,0.127707,0,49
BDI,Burundi,2,0,2,1226.16,0,1226.16,0,0,0,0,0.001828,0,0.002388,0.5,0.009069,0,84
BEL,Belgium,21,61,82,79720.031,330001.588,409721.619,3,0.565333,0.634434,733.680672,0.144168,0.272362,0.008032,0.177083,0.710518,0,107
BEN,Benin,3,3,6,52.007,63.281,115.288,4,0.319759,0.334906,1.822662,0.015589,0.009457,0.00241,0.25,0.04554,0,107
BFA,Burkina Faso,3,2,5,1168.953,372.633,1541.586,5,0.260763,0.275943,3.844298,0.018549,0.005514,0.002744,0.416667,0.065903,0,107
BGD,Bangladesh,7,1,8,4854.592,16.473,4871.065,4,0.344156,0.360456,3.716175,0.054185,0.007481,0.003268,0.410714,0.17682,0,107
BGR,Bulgaria,13,6,19,3202.581,7738.885,10941.466,4,0.335443,0.363208,21.183363,0.108552,0.024915,0.005643,0.591667,0.517076,0,107
BHR,Bahrain,5,0,5,106.766,0,106.766,0,0,0,0,0.043838,0,0.002609,0.45,0.134106,0,79
BHS,"Bahamas, The",2,0,2,210.153,0,210.153,0,0,0,0,0.023648,0,0.002233,1,0.074968,0,68
BIH,Bosnia and Herzegovina,9,1,10,6131.994,0.14,6132.134,1,1,1,5.816667,0.053984,0.002062,0.005067,0.466667,0.252426,0,51
BLR,Belarus,9,1,10,5461.337,16.6,5477.937,5,0.263682,0.277044,0.256392,0.071588,0.005393,0.007658,0.555556,0.298492,0,107
BOL,Bolivia,3,17,20,193.594,234963.729,235157.323,3,0.452991,0.492138,33.426045,0.021599,0.060679,0.002771,0.228758,0.0751,0,107
BRA,Brazil,8,31,39,345.177,4103.188,4448.365,3,0.485126,0.538522,268.817965,0.062386,0.11446,0.004079,0.188057,0.249648,0,107
BRB,Barbados,5,1,6,329.182,3.591,332.773,5,0.351575,0.373585,1.327262,0.035796,0.006976,0.002774,0.566667,0.132509,0,107
BRN,Brunei,5,0,5,505.684,0,505.684,0,0,0,0,0.029041,0,0.003108,0.8,0.151215,0,88
BTN,Bhutan,0,1,1,0,17.141,17.141,4,0.375,0.393584,0,0,0.004505,0.00193,0,0,0,108
BUN,Bunkers,3,0,3,0.259,0,0.259,0,0,0,0,0.022005,0,0.002417,0.166667,0.06576,0,93
BWA,Botswana,3,2,5,523.19,0.876,524.066,4,0.353333,0.371855,3.314174,0.01864,0.004992,0.002428,0.583333,0.055497,0,107
