Source,Target,Year,trade_value,ln_trade_value,Source Area,Target Area,Source Exchange Rate,Target Exchange Rate,Ex Rate Source / Target,Ex Rate Target / Source,Source Consumer Price Index,Target Consumer Price Index,exchange_rate ijt,Source GDP,Target GDP,level of output ijt
ARE,SAU,2017,0.001,-6.907755278982137,98647.9,2149690.0,3.67,3.75,0.9786666666666667,1.021798365122616,113.3,118.03,0.9808502479741792,,100.96,
ARG,SAU,2003,0.001,-6.907755278982137,2780400.0,2149690.0,2.9,3.75,0.7733333333333333,1.293103448275862,,76.48,,,,
BRA,DEU,2005,0.001,-6.907755278982137,8515770.0,357090.0,2.43,0.8,3.0375,0.3292181069958848,79.54,92.46,0.2832144519841302,69.52,94.63,4.395794515738639
BRA,JPN,2005,0.001,-6.907755278982137,8515770.0,377910.0,2.43,110.22,0.022046815459989114,45.35802469135802,79.54,100.41,35.93045796186254,69.52,105.08,4.448168222887238
BRN,MYS,2014,0.001,-6.907755278982137,5770.0,330396.0,1.27,3.27,0.38837920489296635,2.574803149606299,100.43,110.46,2.341005615742899,,,
CHE,CHL,2003,0.001,-6.907755278982137,41290.0,756096.0,1.35,691.4,0.0019525600231414524,512.1481481481482,93.85,80.4,597.824672931638,92.4,65.32,4.352712623374951
CHE,GBR,2011,0.001,-6.907755278982137,41290.0,243610.0,0.89,0.62,1.435483870967742,0.6966292134831461,100.23,103.86,0.6722813986849194,99.98,102.12,4.615559379179354
CHE,ITA,2015,0.001,-6.907755278982137,41290.39,302069.0,0.96,0.9,1.0666666666666667,0.9375000000000001,98.17,107.5,0.8561337209302327,98.05,106.3,4.625871418995128
CHE,OAS,2015,0.001,-6.907755278982137,41290.39,,0.96,,inf,,98.17,,,98.05,,
CHE,RUS,2021,0.001,-6.907755278982137,,,0.91,73.65,0.012355736591989137,80.93406593406594,99.4,199.37,40.351337482300025,98.06,,
CHE,SGP,2003,0.001,-6.907755278982137,41290.0,697.0,1.35,1.74,0.7758620689655173,1.2888888888888888,93.85,86.15,1.4040884761720511,92.4,85.25,4.485857547405632
CHE,USA,2010,0.001,-6.907755278982137,41290.0,9831510.0,1.04,1.0,1.04,0.9615384615384615,100.0,100.0,0.9615384615384615,100.0,100.0,4.605170185988092
COL,NLD,2008,0.001,-6.907755278982137,1141750.0,41540.0,1965.14,0.68,2889.9117647058824,0.00034603132601239607,93.84,97.58,0.0003327688013220255,92.57,98.85,4.560784332347873
COL,PAN,2006,0.001,-6.907755278982137,1141750.0,75420.0,2358.59,1.0,2358.59,0.0004239821249136136,83.09,83.28,0.00042301482659788854,81.72,,
CZE,USA,2000,0.001,-6.907755278982137,78870.0,9632030.0,38.6,1.0,38.6,0.025906735751295335,77.82,78.97,0.025529469116953307,81.83,81.14,4.400409991158796
DEU,FIN,2009,0.001,-6.907755278982137,357120.0,338420.0,0.72,0.72,1.0,1.0,98.91,98.83,1.000809470808459,99.36,99.68,4.600357336612156
DEU,IRN,2011,0.001,-6.907755278982137,357140.0,1745150.0,0.72,10616.31,6.782017480650056e-05,14744.875,102.08,126.29,11918.258294401772,101.07,,
ECU,CHL,2017,0.001,-6.907755278982137,256370.0,756700.0,1.0,648.83,0.0015412357628346407,648.83,124.09,125.57,641.1827243768416,119.36,129.57,4.823182706048085
EUN,IND,2018,0.001,-6.907755278982137,,3287260.0,,68.39,,inf,,165.45,,,149.51,
EUN,IRN,2011,0.001,-6.907755278982137,,1745150.0,,10616.31,,inf,,126.29,,,,
EUN,TUR,2014,0.001,-6.907755278982137,,785350.0,,2.19,,inf,,135.66,,,132.66,
FRA,LVA,2013,0.001,-6.907755278982137,549087.0,64594.0,0.75,0.75,1.0,1.0,105.01,106.7,0.9841611996251172,102.92,112.29,4.677518398998995
GBR,GRC,2021,0.001,-6.907755278982137,,,0.73,0.85,0.8588235294117647,1.1643835616438356,123.85,101.91,1.4150613689489653,123.28,96.6,4.692518466115167
GTM,SWE,2022,0.001,-6.907755278982137,,,7.75,10.11,0.7665677546983185,1.304516129032258,164.39,122.96,1.7440582827880031,,129.29,
HUN,CHN,2013,0.001,-6.907755278982137,93030.0,9600001.3,223.7,6.2,36.08064516129032,0.027715690657130088,111.71,111.16,0.027852822987657448,107.84,,
IND,COM,2021,0.001,-6.907755278982137,,,73.92,415.96,0.17770939513414752,5.627164502164502,192.38,,,169.81,,
IND,SDN,2005,0.001,-6.907755278982137,3287260.0,2505810.0,44.1,2.44,18.07377049180328,0.05532879818594104,66.04,56.58,0.06457960113466855,71.45,59.21,4.17504417545978
MEX,CUB,2012,0.001,-6.907755278982137,1964380.0,109880.0,13.17,,inf,,107.66,,,110.15,,
NIC,CRI,2011,0.001,-6.907755278982137,130370.0,51100.0,22.42,505.66,0.04433809278962149,22.553969669937555,108.08,104.88,23.24211519762444,110.21,104.59,4.676217790734814
NLD,IND,2017,0.001,-6.907755278982137,41540.0,3287260.0,0.89,65.12,0.013667076167076166,73.1685393258427,111.04,159.18,51.040549106304645,105.79,142.75,4.811275422767402
NLD,IND,2018,0.001,-6.907755278982137,41540.0,3287260.0,0.85,68.39,0.01242871764877906,80.45882352941177,112.93,165.45,54.918192451958134,108.37,149.51,4.846457289080369
NLD,TUR,2014,0.001,-6.907755278982137,41540.0,785350.0,0.75,2.19,0.3424657534246575,2.92,108.53,135.66,2.3360430487984667,103.2,132.66,4.762229158572437
NLD,USA,2013,0.001,-6.907755278982137,41540.0,9831510.0,0.75,1.0,0.75,1.3333333333333333,107.48,106.83,1.3414459109488597,102.94,105.81,4.647895663570339
NLD,USA,2014,0.001,-6.907755278982137,41540.0,9831510.0,0.75,1.0,0.75,1.3333333333333333,108.53,108.57,1.3328420987995457,103.2,107.79,4.6584268714205
PER,BEL,2009,0.001,-6.907755278982137,1285220.0,30530.0,3.01,0.72,4.180555555555555,0.23920265780730898,98.49,97.86,0.2407425890807466,94.6,98.14,4.568026253359795
PER,CHE,2007,0.001,-6.907755278982137,1285220.0,41290.0,3.13,1.2,2.6083333333333334,0.38338658146964855,90.45,97.43,0.355920315035715,91.67,97.82,4.550662113542447
PER,DEU,2002,0.001,-6.907755278982137,1285220.0,357040.0,3.52,1.06,3.320754716981132,0.30113636363636365,80.88,88.64,0.27477334263209713,74.92,91.99,4.419050376532477
PER,ITA,2003,0.001,-6.907755278982137,1285220.0,302069.0,3.48,0.88,3.9545454545454546,0.25287356321839083,82.71,87.28,0.23963304782072758,76.27,87.24,4.401471308754788
PER,NLD,2007,0.001,-6.907755278982137,1285220.0,41540.0,3.13,0.73,4.287671232876712,0.23322683706070288,90.45,95.21,0.22156672000987898,91.67,96.62,4.5444904655499725
SVN,DNK,2000,0.001,-6.907755278982137,20270.0,42920.0,1.08,8.08,0.13366336633663367,7.481481481481481,66.54,81.68,6.094732832734792,67.78,79.11,4.293553227606106
SWZ,ZAF,2006,0.001,-6.907755278982137,17360.0,1219090.0,6.77,6.77,1.0,1.0,73.14,76.67,0.9539585235424547,71.92,74.28,4.291698063323935
THA,HKG,2019,0.001,-6.907755278982137,513120.0,1110.0,31.05,7.84,3.9604591836734695,0.25249597423510467,113.27,134.65,0.21240415151585817,118.75,129.14,4.818958765056536
THA,JPN,2016,0.001,-6.907755278982137,513120.0,377970.0,35.3,108.79,0.32447835278977843,3.0818696883852694,110.55,103.46,3.2930668282523827,117.69,101.44,4.693760769789243
THA,MDG,2017,0.001,-6.907755278982137,513120.0,587295.0,33.94,3116.11,0.010891784949825262,91.81231585150266,111.29,160.71,63.579071813289346,118.2,159.6,4.922524394993854
THA,SGP,2017,0.001,-6.907755278982137,513120.0,722.0,33.94,1.38,24.594202898550726,0.04065998821449617,111.29,113.27,0.0399492371183127,118.2,107.45,4.7247018640302585
THA,VNM,2011,0.001,-6.907755278982137,513120.0,330957.0,30.49,20509.75,0.0014866100269384072,672.6713676615284,103.81,118.68,588.3890687305634,104.49,121.41,4.724132310300952
