ReporterISO3,PartnerISO3,Year,120810 in 1000 USD 
ARE,SAU,2017,0.001
ARG,SAU,2003,0.001
BRA,DEU,2005,0.001
BRA,JPN,2005,0.001
BRN,MYS,2014,0.001
CHE,CHL,2003,0.001
CHE,GBR,2011,0.001
CHE,ITA,2015,0.001
CHE,OAS,2015,0.001
CHE,RUS,2021,0.001
CHE,SGP,2003,0.001
CHE,USA,2010,0.001
COL,NLD,2008,0.001
COL,PAN,2006,0.001
CZE,USA,2000,0.001
DEU,FIN,2009,0.001
DEU,IRN,2011,0.001
ECU,CHL,2017,0.001
EUN,IND,2018,0.001
EUN,IRN,2011,0.001
EUN,TUR,2014,0.001
FRA,LVA,2013,0.001
GBR,GRC,2021,0.001
GTM,SWE,2022,0.001
HUN,CHN,2013,0.001
IND,COM,2021,0.001
IND,SDN,2005,0.001
MEX,CUB,2012,0.001
NIC,CRI,2011,0.001
NLD,IND,2017,0.001
NLD,IND,2018,0.001
NLD,TUR,2014,0.001
NLD,USA,2013,0.001
NLD,USA,2014,0.001
PER,BEL,2009,0.001
PER,CHE,2007,0.001
PER,DEU,2002,0.001
PER,ITA,2003,0.001
PER,NLD,2007,0.001
SVN,DNK,2000,0.001
SWZ,ZAF,2006,0.001
THA,HKG,2019,0.001
THA,JPN,2016,0.001
THA,MDG,2017,0.001
THA,SGP,2017,0.001
THA,VNM,2011,0.001
UKR,ARE,2013,0.001
ZAF,ARE,2020,0.001
ZAF,DEU,2022,0.001
ZAF,FRA,2022,0.001
ZAF,GBR,2001,0.001
ZAF,ITA,2022,0.001
ZAF,MWI,2001,0.001
ZAF,TZA,2005,0.001
ZAF,USA,2019,0.001
ZAF,VNM,2022,0.001
ARE,HKG,2020,0.002
BIH,NLD,2019,0.002
BRA,CHN,2019,0.002
BRA,JPN,2020,0.002
DNK,CYP,2011,0.002
EUN,GIB,2017,0.002
EUN,IND,2015,0.002
FIN,CHN,2016,0.002
FRA,BRA,2018,0.002
GTM,ESP,2008,0.002
GTM,MEX,2002,0.002
HND,UNS,1999,0.002
IND,PAK,2018,0.002
IRN,KAZ,2003,0.002
MKD,SER,2004,0.002
NAM,ZAF,2018,0.002
NLD,IND,2015,0.002
NLD,MLT,2016,0.002
PER,PAN,2021,0.002
SVN,HRV,2020,0.002
THA,GBR,2017,0.002
THA,HKG,2017,0.002
THA,NZL,2014,0.002
THA,OAS,2016,0.002
TUR,HUN,2022,0.002
TUR,KEN,2021,0.002
TZA,ARE,2016,0.002
ZAF,PRT,2019,0.002
ZAF,USA,2021,0.002
ZWE,CHN,2010,0.002
ZWE,ZAF,2016,0.002
ZWE,ZMB,2016,0.002
BRA,LBR,2018,0.003
BRA,SGP,2019,0.003
CIV,UNS,2012,0.003
ESP,GIB,2017,0.003
EUN,IND,2016,0.003
GBR,BGR,2012,0.003
IND,GAB,2020,0.003
IND,IRL,2013,0.003
KEN,CHN,2015,0.003
MEX,COL,2013,0.003
MWI,ZAF,2019,0.003
NLD,CYP,2017,0.003
NLD,IND,2016,0.003
POL,PRT,2022,0.003
POL,SWE,2004,0.003
PRT,TUR,2008,0.003
ROM,EST,2020,0.003
THA,KOR,2015,0.003
THA,SGP,2015,0.003
ZAF,CAN,2002,0.003
ZAF,ZMB,2001,0.003
BRA,MLT,2022,0.004
BRA,VNM,2022,0.004
CHE,AUS,2005,0.004
CHE,IND,2020,0.004
CHE,JPN,2013,0.004
EUN,IND,2011,0.004
FIN,AUS,2018,0.004
JAM,TTO,2014,0.004
LKA,BHR,2004,0.004
NAM,ZAF,2013,0.004
NLD,IND,2011,0.004
NLD,IND,2019,0.004
NZL,MYS,2002,0.004
POL,EST,2020,0.004
THA,CAN,2012,0.004
THA,LAO,2007,0.004
TUR,CHL,2022,0.004
TUR,KHM,2021,0.004
TUR,MLT,2022,0.004
BRA,PRT,2020,0.005
CHE,AUS,2007,0.005
CHE,DEU,2017,0.005
CHE,ITA,2018,0.005
CHE,QAT,2020,0.005
CHN,UNS,1997,0.005
CIV,UNS,2015,0.005
CZE,DEU,2009,0.005
KOR,DNK,2018,0.005
NLD,IND,2012,0.005
POL,CYP,2004,0.005
POL,DEU,2016,0.005
POL,IRL,2016,0.005
POL,ROM,2017,0.005
ROM,DNK,2020,0.005
TUR,MUS,2022,0.005
ZAF,KEN,2010,0.005
ZAF,MYS,2012,0.005
BRA,CHN,2015,0.006
BRA,CYM,2022,0.006
BRA,PRY,2020,0.006
DNK,IRL,2009,0.006
EUN,SGP,2022,0.006
FIN,SGP,2020,0.006
FIN,SGP,2022,0.006
LKA,BGD,2010,0.006
LUX,DEU,2018,0.006
LUX,FRA,2012,0.006
MEX,UNS,1997,0.006
MNT,HRV,2019,0.006
NLD,LTU,2017,0.006
PER,CHE,2021,0.006
POL,IRL,2019,0.006
POL,NLD,2014,0.006
TUR,IND,2022,0.006
TUR,ITA,2021,0.006
ARG,DEU,2000,0.007
ARG,DEU,2004,0.007
BWA,NAM,2016,0.007
CRI,UNS,1999,0.007
CZE,SWE,2020,0.007
DEU,ARM,2010,0.007
EUN,ARM,2010,0.007
EUN,PER,2016,0.007
EUN,STP,2018,0.007
FIN,CHN,2021,0.007
FIN,NOR,2020,0.007
FRA,OMN,2013,0.007
FRA,PER,2016,0.007
FRA,USA,2011,0.007
