Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,1996 in 1000 USD ,1997 in 1000 USD ,1998 in 1000 USD ,1999 in 1000 USD ,2000 in 1000 USD ,2001 in 1000 USD ,2002 in 1000 USD ,2003 in 1000 USD ,2004 in 1000 USD ,2005 in 1000 USD ,2006 in 1000 USD ,2007 in 1000 USD ,2008 in 1000 USD ,2009 in 1000 USD ,2010 in 1000 USD ,2011 in 1000 USD ,2012 in 1000 USD ,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD ,2017 in 1000 USD ,2018 in 1000 USD ,2019 in 1000 USD ,2020 in 1000 USD ,2021 in 1000 USD 
H1,ABW,1201,Aruba,COL,Colombia,Export,6,,,,,0.056,,,0.257,,,,,,,,,,,,,,,,,,
H1,ABW,1201,Aruba,NLD,Netherlands,Export,6,,,,,,,,,,,,,2.916,1.048,,,,,,,,,,,,
H1,ABW,1201,Aruba,USA,United States,Export,6,,,,,,,,,,,,,0.009,,,,,,,,,,,,,
H1,ABW,1201,Aruba,VEN,Venezuela,Export,6,,,,,0.106,,,12.156,,,,0.011,,,,,,,,,,,,,,
H1,AFG,1201,Afghanistan,PAK,Pakistan,Export,6,,,,,,,,,,,,,,,,,,,,,,456.769,2.309,,,
H1,AGO,1201,Angola,NAM,Namibia,Export,6,,,,,,,,,,,,,,,,,,,,,,33.614,,6.016,,0.1
H1,AGO,1201,Angola,STP,Sao Tome and Principe,Export,6,,,,,,,,,,,,,,,,,,,,,,0.237,,,,
H1,AGO,1201,Angola,ZAR,"Congo, Dem. Rep.",Export,6,,,,,,,,,,,,,,,,,,,,,,,11.928,,,
H1,ALB,1201,Albania,GRC,Greece,Export,6,,,,,,,,12.854,,,,,,,,,,,,,,,,,,
H1,ARE,1201,United Arab Emirates,ARM,Armenia,Export,6,,,,,,,,,,,,,,,,,,,,,,,,0,,0
H1,ARE,1201,United Arab Emirates,AUS,Australia,Export,6,,,,,,,,,,,,,,,,,,,,,,,0,,,
H1,ARE,1201,United Arab Emirates,AZE,Azerbaijan,Export,6,,,,,,,0,,,,,,,,,,,,,,,,0,0,0.193,
H1,ARE,1201,United Arab Emirates,BGD,Bangladesh,Export,6,,,,,,,,,,,,,,,,,,,,,,,,,0,
H1,ARE,1201,United Arab Emirates,BHR,Bahrain,Export,6,,,,,,,,,0,,0,,,,0,0,0,0,0,0,0,0,0.569,0,0,0
H1,ARE,1201,United Arab Emirates,CAN,Canada,Export,6,,,,,,,,,,,,,,,,,0,,,,,,,,,
H1,ARE,1201,United Arab Emirates,CHN,China,Export,6,,,,,,,,,,,,,,,,,,,,,,0,,,,
H1,ARE,1201,United Arab Emirates,CIV,Cote d'Ivoire,Export,6,,,,,,,,,,,,,,,,,,,,,,,0,,,
H1,ARE,1201,United Arab Emirates,COG,"Congo, Rep.",Export,6,,,,,,,,,,,,,,,,,,,,,,,,0,,
H1,ARE,1201,United Arab Emirates,DJI,Djibouti,Export,6,,,,,,,,,,0,,,,,,,,,,,,,,,,
H1,ARE,1201,United Arab Emirates,DZA,Algeria,Export,6,,,,,,,,0,,,,,,,,,,,,0,,,,,,
H1,ARE,1201,United Arab Emirates,EGY,"Egypt, Arab Rep.",Export,6,,,,,,,,,,,,,,,34.655,,,0,,,,0,,,0,
H1,ARE,1201,United Arab Emirates,GAB,Gabon,Export,6,,,,,,,,,,,,,,,,,,,,,,0,,,,
H1,ARE,1201,United Arab Emirates,GBR,United Kingdom,Export,6,,,,,,,,,,,,,,,,,,,0,,,,,,,
H1,ARE,1201,United Arab Emirates,GEO,Georgia,Export,6,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
H1,ARE,1201,United Arab Emirates,GIN,Guinea,Export,6,,,,,,,,,,,,,,,,,,,,,,,,0,,
H1,ARE,1201,United Arab Emirates,GMB,"Gambia, The",Export,6,,,,,,,,,,,,,,,,,,,,,,,,,,0
H1,ARE,1201,United Arab Emirates,GNQ,Equatorial Guinea,Export,6,,,,,,,,,,,,,,,,,,,,,,,0,,,
H1,ARE,1201,United Arab Emirates,GRC,Greece,Export,6,,,,,,,,,,,,,,,,,,,,,0,,,,,
H1,ARE,1201,United Arab Emirates,IND,India,Export,6,,,,,,,,,,,0,,,,,,,,,0,,,,,,
H1,ARE,1201,United Arab Emirates,IRN,"Iran, Islamic Rep.",Export,6,,,,,,,0,0,,,0,,,,,,,,,,0,0,0,,,
H1,ARE,1201,United Arab Emirates,IRQ,Iraq,Export,6,,,,0,0,0,0,,0,254.261,,0,,,,0,,,,,,0,0,0,0,
H1,ARE,1201,United Arab Emirates,JOR,Jordan,Export,6,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,
H1,ARE,1201,United Arab Emirates,KEN,Kenya,Export,6,,,,,,,,,,,,,,,,0,,,,0,,,,,0,
H1,ARE,1201,United Arab Emirates,KWT,Kuwait,Export,6,,,,,,,,0,,,,,,,,,,,0,,,,0,2.559,0.637,3.757
H1,ARE,1201,United Arab Emirates,LBN,Lebanon,Export,6,,,,,,,,,,0,0,,,0,,0,,,,,,,0,,,
