"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H1","All","1201","All countries  All --- All  ","WLD"," World",1996,"Export",6,8364485.093
"H1","All","1201","All countries  All --- All  ","WLD"," World",1997,"Export",6,10731269.559
"H1","All","1201","All countries  All --- All  ","WLD"," World",1998,"Export",6,8897065.681
"H1","All","1201","All countries  All --- All  ","WLD"," World",1999,"Export",6,7538839.443
"H1","All","1201","All countries  All --- All  ","WLD"," World",2000,"Export",6,9127687.305
"H1","All","1201","All countries  All --- All  ","WLD"," World",2001,"Export",6,10323896.883
"H1","All","1201","All countries  All --- All  ","WLD"," World",2002,"Export",6,10830637.449
"H1","All","1201","All countries  All --- All  ","WLD"," World",2003,"Export",6,15459273.669
"H1","All","1201","All countries  All --- All  ","WLD"," World",2004,"Export",6,15476985.104
"H1","All","1201","All countries  All --- All  ","WLD"," World",2005,"Export",6,15566791.049
"H1","All","1201","All countries  All --- All  ","WLD"," World",2006,"Export",6,16077200.571
"H1","All","1201","All countries  All --- All  ","WLD"," World",2007,"Export",6,22827630.342
"H1","All","1201","All countries  All --- All  ","WLD"," World",2008,"Export",6,35096975.079
"H1","All","1201","All countries  All --- All  ","WLD"," World",2009,"Export",6,32939404.169
"H1","All","1201","All countries  All --- All  ","WLD"," World",2010,"Export",6,39624845.224
"H1","All","1201","All countries  All --- All  ","WLD"," World",2011,"Export",6,45425299.753
"H1","All","1201","All countries  All --- All  ","WLD"," World",2012,"Export",6,53345652.763
"H1","All","1201","All countries  All --- All  ","WLD"," World",2013,"Export",6,57436456.7
"H1","All","1201","All countries  All --- All  ","WLD"," World",2014,"Export",6,58964676.018
"H1","All","1201","All countries  All --- All  ","WLD"," World",2015,"Export",6,50996872.005
"H1","All","1201","All countries  All --- All  ","WLD"," World",2016,"Export",6,52559701.985
"H1","All","1201","All countries  All --- All  ","WLD"," World",2017,"Export",6,58026554.789
"H1","All","1201","All countries  All --- All  ","WLD"," World",2018,"Export",6,59040857.038
"H1","All","1201","All countries  All --- All  ","WLD"," World",2019,"Export",6,55126206.511
"H1","All","1201","All countries  All --- All  ","WLD"," World",2020,"Export",6,64047279.854
"H1","All","1201","All countries  All --- All  ","WLD"," World",2021,"Export",6,77641488.063
"H1","All","1201","All countries  All --- All  ","WLD"," World",2022,"Export",6,93082245.853
