Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,Authority,Hub,componentnumber,strongcompnum,eigencentrality,period,network
MAR,Morocco,15,2,17,891773.052,26.414,891799.466,5,0.342229,0.361544,18.648086,0.004032,0.583333,0.085512,0.007407,0,94,0.277995,1,1201
ESP,Spain,35,36,71,10568340.75,30497.667,10598838.41,4,0.503464,0.558104,963.021668,0.011053,0.222572,0.138332,0.104457,0,94,0.645008,1,1201
LBN,Lebanon,17,11,28,41937.848,7.311,41945.159,4,0.392086,0.428899,188.996473,0.00572,0.347692,0.090403,0.031878,0,94,0.311831,1,1201
ABW,,7,4,11,13.615,16.397,30.012,4,0.411321,0.435398,233.164869,0.004863,0.446429,0.027449,0.014808,0,94,0.124968,1,1201
COL,Colombia,12,14,26,1074303.907,2298.714,1076602.621,4,0.453222,0.487768,159.599241,0.00403,0.339827,0.060424,0.03641,0,94,0.16739,1,1201
NLD,Netherlands,43,52,95,12679237.56,4527877.006,17207114.56,3,0.536946,0.602446,968.652736,0.012893,0.226027,0.162572,0.164661,0,94,0.870061,1,1201
USA,United States,58,110,168,1522577.515,130921788.4,132444365.9,3,0.662614,0.75,5212.504535,0.019825,0.12335,0.180435,0.276607,0,94,1,1,1201
VEN,Venezuela,11,2,13,388602.016,1.462,388603.478,5,0.292617,0.30474,4.845678,0.003928,0.462121,0.053862,0.002204,0,94,0.160137,1,1201
ALB,Albania,4,1,5,203.482,12.854,216.336,5,0.300275,0.312232,0.083333,0.002879,0.5,0.017267,0.004103,0,94,0.091302,1,1201
GRC,Greece,27,11,38,914378.848,2900.762,917279.61,4,0.428291,0.461774,274.4669,0.009181,0.493842,0.126709,0.03986,0,94,0.608645,1,1201
ARE,United Arab Emirates,34,4,38,667448.846,317.327,667766.173,5,0.325859,0.347401,493.282008,0.0157,0.365873,0.13584,0.00789,0,94,0.592179,1,1201
EGY,"Egypt, Arab Rep.",15,29,44,4596854.07,4015.161,4600869.231,4,0.477024,0.529052,852.610492,0.006445,0.285897,0.088808,0.091829,0,94,0.266106,1,1201
IRQ,Iraq,9,0,9,7806.061,0,7806.061,0,0,0,0,0.006514,0.486111,0.037943,0,0,44,0.189826,1,1201
OMN,Oman,11,1,12,1543.941,38.817,1582.758,6,0.24605,0.255887,0.322222,0.006001,0.5,0.053272,0.004399,0,94,0.17073,1,1201
QAT,Qatar,13,3,16,661.12,60.907,722.027,1,1,1,13.084085,0.014226,0.504762,0.063637,0.008002,0,3,0.276471,1,1201
ARG,Argentina,15,70,85,1487867.519,30785085.33,32272952.85,3,0.587601,0.656728,278.979078,0.003515,0.227364,0.082181,0.219365,0,94,0.279256,1,1201
AGO,Angola,17,0,17,4916.783,0,4916.783,0,0,0,0,0.004903,0.433824,0.07569,0,0,47,0.30211,1,1201
AUT,Austria,29,40,69,100395.156,234665.219,335060.375,3,0.516588,0.571865,379.161025,0.009255,0.345976,0.123473,0.141378,0,94,0.703772,1,1201
BEL,Belgium,33,44,77,2183785.055,711778.539,2895563.594,4,0.517815,0.579128,634.228914,0.010126,0.285714,0.141277,0.150173,0,94,0.697323,1,1201
BGD,Bangladesh,14,1,15,483798.535,114.14,483912.675,5,0.280566,0.289908,99.842376,0.003054,0.580952,0.088786,0.000027,0,94,0.271219,1,1201
BOL,Bolivia,6,18,24,226791.264,398018.076,624809.34,4,0.477024,0.51185,4.310853,0.002158,0.5,0.042005,0.06312,0,94,0.105355,1,1201
BRA,Brazil,13,84,97,707176.347,94493593,95200769.34,3,0.607242,0.687309,401.103042,0.003465,0.17563,0.06898,0.240894,0,94,0.226349,1,1201
CAN,Canada,39,111,150,1268013.945,8491847.036,9759860.981,3,0.660606,0.750765,2904.721379,0.010049,0.115674,0.149134,0.273474,0,94,0.683762,1,1201
CHE,Switzerland,34,19,53,405963.678,3754.395,409718.073,4,0.457023,0.498089,139.835599,0.009093,0.403846,0.142561,0.075017,0,94,0.699765,1,1201
CHL,Chile,15,22,37,360774.587,102019.461,462794.048,4,0.489888,0.527141,74.931114,0.003585,0.464286,0.086559,0.082919,0,94,0.303598,1,1201
CHN,China,32,114,146,144397466.1,1891070.528,146288536.6,3,0.668712,0.75841,2973.064168,0.008497,0.104882,0.129,0.267164,0,94,0.606838,1,1201
CUB,Cuba,6,0,6,502455.226,0,502455.226,0,0,0,0,0.002423,0.9,0.037186,0,0,67,0.129269,1,1201
CYP,Cyprus,14,0,14,6576.341,0,6576.341,0,0,0,0,0.00646,0.659341,0.066002,0,0,57,0.385882,1,1201
DEU,Germany,47,58,105,13229298.32,168308.284,13397606.6,3,0.550505,0.619266,1132.559525,0.013868,0.217544,0.174825,0.181051,0,94,0.936714,1,1201
