Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
MAR,Morocco,27,3,30,323633.008,0.228,323633.236,5,0.351911,0.373454,36.478136,0.116734,0.005455,0.00485,0,89,0.487685,0.475517
CPV,Cape Verde,6,0,6,152.874,0,152.874,0,0,0,0,0.024767,0,0.003408,0,58,0.6,0.096365
ESP,Spain,40,55,95,16491944.836,85787.6,16577732.436,4,0.536408,0.605958,751.66401,0.140957,0.142493,0.009065,0,89,0.238014,0.691331
MLI,Mali,8,2,10,129.079,14.819,143.898,4,0.383681,0.403092,12.045994,0.027621,0.005518,0.003869,0,89,0.5,0.111253
AFG,Afghanistan,8,1,9,5208.522,459.078,5667.6,5,0.30274,0.314253,1.074278,0.028807,0.002251,0.003208,0,89,0.410714,0.104522
PAK,Pakistan,21,11,32,5799523.817,802.223,5800326.04,4,0.433333,0.465686,266.938371,0.079791,0.028945,0.007266,0,89,0.407407,0.319694
AGO,Angola,16,3,19,7038.002,51.317,7089.319,5,0.292715,0.308371,29.977949,0.062035,0.002211,0.004011,0,89,0.421569,0.256306
NAM,Namibia,7,6,13,326.786,41.908,368.694,4,0.404762,0.431373,166.717911,0.019096,0.017699,0.003917,0,89,0.390909,0.077172
STP,Sao Tome and Principe,4,0,4,55.937,0,55.937,0,0,0,0,0.014569,0,0.003,0,30,0.5,0.054522
ZAR,Congo [DRC],13,3,16,1465.623,70.818,1536.441,5,0.364086,0.384389,68.435855,0.044702,0.005277,0.004646,0,89,0.455128,0.152579
ARE,United Arab Emirates,48,10,58,295705.213,165.197,295870.41,5,0.358185,0.386652,512.450292,0.140593,0.015751,0.019642,0,89,0.278788,0.685331
AZE,Azerbaijan,17,0,17,60582.015,0,60582.015,0,0,0,0,0.056343,0,0.007055,0,38,0.529412,0.326443
BHR,Bahrain,18,5,23,1045.304,7.811,1053.115,4,0.412313,0.437406,493.243798,0.058863,0.012513,0.012039,0,89,0.424242,0.316761
KWT,Kuwait,17,5,22,1700.183,12.462,1712.645,5,0.344774,0.36365,27.236946,0.069747,0.013271,0.006465,0,89,0.5,0.331313
LBR,Liberia,13,0,13,388.379,0,388.379,0,0,0,0,0.060593,0,0.00488,0,45,0.666667,0.254909
