Source,Target,1201 in 1000 USD ,Year
ABW,COL,0.056,2000
ABW,COL,0.257,2003
ABW,NLD,2.916,2008
ABW,NLD,1.048,2009
ABW,USA,0.009,2008
ABW,VEN,0.106,2000
ABW,VEN,12.156,2003
ABW,VEN,0.011,2007
AFG,PAK,456.769,2017
AFG,PAK,2.309,2018
AGO,NAM,33.614,2017
AGO,NAM,5.437,2019
AGO,NAM,0.101,2021
AGO,STP,0.237,2017
AGO,ZAR,11.928,2018
ALB,GRC,12.854,2003
ARE,AZE,0.193,2020
ARE,BHR,0.569,2018
ARE,EGY,34.655,2010
ARE,IRQ,254.261,2005
ARE,KWT,2.559,2019
ARE,KWT,0.637,2020
ARE,KWT,3.757,2021
ARE,LBR,0.737,2020
ARE,LBR,0.192,2021
ARE,OMN,8.168,2003
ARE,OMN,19.779,2007
ARE,OMN,2.41,2014
ARE,QAT,0.464,2007
ARE,QAT,26.685,2016
ARE,SAU,67.453,2001
ARE,SEN,0.082,2020
ARE,SYC,0.085,2020
ARE,SYR,126.022,2021
ARE,TZA,1.269,2020
ARG,AGO,0.038,2007
ARG,ARE,6365.88,2002
ARG,ARE,20175.727,2003
ARG,ARE,19516,2004
ARG,ARE,55578.972,2005
ARG,ARE,17924.397,2006
ARG,ARE,34622.09,2007
ARG,ARE,57018.74,2008
ARG,ARE,15380.933,2013
ARG,AUT,10.943,2010
ARG,BEL,3684.168,1999
ARG,BEL,3012.453,2000
ARG,BEL,4077.145,2001
ARG,BEL,2731.286,2002
ARG,BEL,1748.533,2003
ARG,BEL,581.706,2004
ARG,BEL,725.716,2005
ARG,BEL,934.424,2006
ARG,BEL,15941.829,2007
ARG,BEL,216.065,2008
ARG,BEL,0.08,2009
ARG,BEL,0.075,2010
ARG,BEL,0.051,2011
ARG,BEL,132.121,2012
ARG,BEL,0.012,2013
ARG,BEL,0.039,2016
ARG,BEL,0.063,2017
ARG,BGD,6975.175,2004
ARG,BGD,15964.654,2005
ARG,BGD,37330.715,2006
ARG,BGD,40824.578,2007
ARG,BGD,40261.528,2008
ARG,BGD,14093.749,2011
ARG,BGD,53801.628,2012
ARG,BGD,77724.074,2013
ARG,BGD,83019.049,2014
ARG,BGD,23430.935,2015
ARG,BLX,4605.126,1996
ARG,BLX,2444.837,1997
ARG,BLX,1420.084,1998
ARG,BOL,0.86,1998
ARG,BOL,3.833,1999
ARG,BOL,0.847,2000
ARG,BOL,0.009,2004
ARG,BOL,178.148,2005
ARG,BOL,354.221,2006
ARG,BOL,555.205,2007
ARG,BOL,1819.01,2008
ARG,BOL,982.613,2009
ARG,BOL,2388.918,2010
ARG,BOL,6476.842,2011
ARG,BOL,6455.658,2012
ARG,BOL,6689.28,2013
ARG,BOL,3865.055,2014
ARG,BOL,5234.875,2015
ARG,BOL,4524.498,2016
ARG,BOL,5164.741,2017
ARG,BOL,1188.313,2018
ARG,BOL,1950.244,2019
ARG,BOL,2464.904,2020
ARG,BOL,2106.294,2021
ARG,BRA,0.569,1998
ARG,BRA,25.8,1999
ARG,BRA,176.053,2000
ARG,BRA,0.06,2001
ARG,BRA,0.441,2002
ARG,BRA,0.462,2003
ARG,BRA,0.396,2004
ARG,BRA,14.932,2005
ARG,BRA,0.329,2006
ARG,BRA,120.114,2007
ARG,BRA,1986.194,2008
ARG,BRA,152.967,2009
ARG,BRA,190.183,2010
ARG,BRA,54.04,2011
ARG,BRA,107.222,2012
ARG,BRA,6.784,2013
ARG,BRA,51.402,2014
ARG,BRA,555.311,2015
ARG,BRA,530.281,2016
ARG,BRA,87.286,2017
ARG,BRA,7.15,2018
ARG,BRA,12.22,2019
ARG,BRA,928.722,2020
ARG,BRA,934.312,2021
ARG,CAN,155.139,1999
ARG,CAN,40.972,2001
ARG,CAN,7.688,2002
ARG,CAN,44.894,2003
ARG,CAN,155.673,2004
ARG,CAN,274.83,2005
ARG,CAN,34.923,2006
ARG,CAN,183.3,2007
ARG,CAN,1766.769,2008
ARG,CAN,105.583,2009
ARG,CAN,510.615,2010
ARG,CAN,22.384,2011
ARG,CAN,509.153,2012
ARG,CAN,546.156,2013
ARG,CAN,669.821,2014
ARG,CAN,262.348,2015
ARG,CAN,188.44,2016
ARG,CAN,61.505,2017
ARG,CAN,4181.804,2021
ARG,CHE,31.609,2000
ARG,CHE,102.183,2001
ARG,CHE,67.834,2002
ARG,CHE,107.739,2003
ARG,CHE,51.459,2004
ARG,CHE,104.766,2005
ARG,CHL,1.07,1996
ARG,CHL,4185.024,1997
ARG,CHL,8159.744,1998
ARG,CHL,9397.21,1999
ARG,CHL,8955.104,2000
ARG,CHL,16916.602,2001
ARG,CHL,20671.13,2002
ARG,CHL,18460.729,2003
ARG,CHL,24141.369,2004
ARG,CHL,43359.303,2005
ARG,CHL,44007.937,2006
ARG,CHL,65060.63,2007
ARG,CHL,39109.998,2008
ARG,CHL,5518.256,2009
