Source,Target,trade_value,Year,ln_trade_value,Source Area,Target Area,Source Exchange Rate,Target Exchange Rate,Ex Rate Source / Target,Ex Rate Target / Source,Source Consumer Price Index,Target Consumer Price Index,exchange_rate ijt,Source GDP,Target GDP,level of output ijt
ABW,COL,0.056,2000,-2.8824035882469876,180.0,1141750.0,1.79,2087.92,0.000857312540710372,1166.4357541899442,72.03,58.22,1443.11864263658,,,
ABW,COL,0.257,2003,-1.3586791940869172,180.0,1141750.0,1.79,2877.54,0.0006220591199427289,1607.5642458100558,79.36,71.61,1781.5430602916636,,,
ABW,NLD,2.916,2008,1.0702128141464118,180.0,41540.0,1.79,0.68,2.6323529411764706,0.3798882681564246,100.1,97.58,0.3896988690557297,,98.85,
ABW,NLD,1.048,2009,0.04688358589885046,180.0,41540.0,1.79,0.72,2.486111111111111,0.40223463687150834,97.96,98.74,0.3990571706292582,,99.07,
ABW,USA,0.009,2008,-4.710530701645918,180.0,9831510.0,1.79,1.0,1.79,0.5586592178770949,100.1,98.74,0.5663539366973588,,98.18,
ABW,VEN,0.106,2000,-2.24431618487007,180.0,912050.0,1.79,0.68,2.6323529411764706,0.3798882681564246,72.03,,,,,
ABW,VEN,12.156,2003,2.497822875054547,180.0,912050.0,1.79,1.61,1.1118012422360248,0.8994413407821229,79.36,,,,,
ABW,VEN,0.011,2007,-4.509860006183766,180.0,912050.0,1.79,2.15,0.8325581395348838,1.2011173184357542,91.87,,,,,
AFG,PAK,456.769,2017,6.124177792641428,652860.0,796100.0,68.03,105.46,0.645078702825716,1.5501984418638834,145.61,156.91,1.4385596527933215,129.48,150.17,4.937647207375116
AFG,PAK,2.309,2018,0.8368145303723584,652860.0,796100.0,72.08,121.82,0.5916926613035627,1.6900665926748057,146.52,164.88,1.501871404407524,132.16,155.94,4.966742313827061
AGO,NAM,33.614,2017,3.5149426468543745,1246700.0,824290.0,165.92,13.31,12.465815176558976,0.08021938283510126,271.02,146.03,0.148880758309725,93.11,161.85,4.810225785136346
AGO,NAM,5.437,2019,1.6932274381637837,1246700.0,824290.0,364.83,14.45,25.247750865051902,0.039607488419263766,379.6,157.97,0.09517631578117698,90.51,170.58,4.822332368365021
AGO,NAM,0.101,2021,-2.2926347621408776,,,631.44,14.78,42.722598105548045,0.023406816166223234,583.68,167.3,0.08166222629946907,,181.41,
AGO,STP,0.237,2017,-1.439695137847006,1246700.0,960.0,165.92,21.74,7.632014719411224,0.13102700096432016,271.02,171.61,0.20692813822825035,93.11,165.29,4.8207415484148495
AGO,ZAR,11.928,2018,2.4788885774624374,1246700.0,,252.86,,inf,,324.22,,,98.01,,
ALB,GRC,12.854,2003,2.5536550469490944,28750.0,131960.0,121.86,0.88,138.47727272727272,0.007221401608403085,82.78,80.08,0.007464880433861231,,82.99,
ARE,AZE,0.193,2020,-1.6450650900772514,98647.9,86600.0,3.67,1.7,2.1588235294117646,0.46321525885558584,112.14,161.22,0.3221992254563044,,,
ARE,BHR,0.569,2018,-0.5638748448558062,98647.9,780.0,3.67,0.38,9.657894736842104,0.10354223433242507,116.78,117.59,0.10282900013045837,,111.78,
ARE,EGY,34.655,2010,3.545442015369948,98647.9,1001450.0,3.67,5.62,0.6530249110320284,1.5313351498637602,100.0,100.0,1.5313351498637602,,100.0,
ARE,IRQ,254.261,2005,5.53836129849623,98647.9,438320.0,3.67,1472.0,0.00249320652173913,401.0899182561308,,58.58,,,58.14,
ARE,KWT,2.559,2019,0.9396165571776518,98647.9,17820.0,3.67,0.3,12.233333333333334,0.08174386920980926,114.52,126.6,0.07394398026783063,,104.67,
ARE,KWT,0.637,2020,-0.45098562340997367,98647.9,17820.0,3.67,0.31,11.838709677419354,0.08446866485013624,112.14,129.26,0.07328110843489308,,90.11,
ARE,KWT,3.757,2021,1.3236207665918318,,,3.67,0.3,12.233333333333334,0.08174386920980926,112.13,133.69,0.06856114933425023,,112.99,
ARE,LBR,0.737,2020,-0.3051673867928005,98647.9,111370.0,3.67,191.52,0.0191624895572264,52.18528610354224,112.14,,,,125.03,
ARE,LBR,0.192,2021,-1.6502599069543555,,,3.67,,,,112.13,,,,,
ARE,OMN,8.168,2003,2.1002240808623642,98647.9,309500.0,3.67,0.38,9.657894736842104,0.10354223433242507,,74.12,,,51.87,
ARE,OMN,19.779,2007,2.9846207687992723,98647.9,309500.0,3.67,0.38,9.657894736842104,0.10354223433242507,86.95,83.29,0.10809217523357377,,87.93,
ARE,OMN,2.41,2014,0.8796267475025636,98647.9,309500.0,3.67,0.38,9.657894736842104,0.10354223433242507,105.07,109.34,0.09949865155759925,,119.46,
ARE,QAT,0.464,2007,-0.7678707267558817,98647.9,11610.0,3.67,3.64,1.0082417582417582,0.9918256130790192,86.95,93.63,0.9210641573984911,,,
ARE,QAT,26.685,2016,3.284101609785908,98647.9,11490.0,3.67,3.64,1.0082417582417582,0.9918256130790192,111.12,115.4,0.9550403996996587,,,
ARE,SAU,67.453,2001,4.211431059055335,98647.9,2149690.0,3.67,3.75,0.9786666666666667,1.021798365122616,,75.83,,,,
ARE,SEN,0.082,2020,-2.501036031717884,98647.9,196710.0,3.67,575.59,0.006376066297190708,156.8365122615804,112.14,112.03,156.9905068732806,,112.84,
ARE,SYC,0.085,2020,-2.4651040224918206,98647.9,460.0,3.67,17.62,0.2082860385925085,4.801089918256131,112.14,141.09,3.815963026672638,,,
