Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2015 in 1000 USD ,2016 in 1000 USD ,2017 in 1000 USD ,2018 in 1000 USD ,2019 in 1000 USD ,2020 in 1000 USD ,2021 in 1000 USD 
H0,BRA,1201,Brazil,WLD, World,Export,6,20983574.67,19331323.43,25717737,33055027.25,26077190.2,28564147.24,38638730.74
H0,USA,1201,United States,WLD, World,Export,6,18926746.95,22882751.22,21522390.05,17161543.11,18723725.69,25848038.3,27514791.95
H0,PRY,1201,Paraguay,WLD, World,Export,6,1594197.534,1819081.53,2132416.621,2205038.91,1576120.072,2146549.947,2975124.106
H0,CAN,1201,Canada,WLD, World,Export,6,1770575.477,1878147.907,1903970.863,2209170.518,1529724.026,2004038.378,2446432.447
H0,ARG,1201,Argentina,WLD, World,Export,6,4269722.175,3234922.077,2732359.077,1386599.732,3404761.138,2186202.074,2232370.596
H0,UKR,1201,Ukraine,WLD, World,Export,6,805451.692,985504.17,1059548.246,831190.576,1166390.264,690372.81,621432.254
H0,NLD,1201,Netherlands,WLD, World,Export,6,498551.113,463148.05,424440.903,429824.026,380354.096,447954.442,596774.338
H0,RUS,1201,Russian Federation,WLD, World,Export,6,119073.559,133156.169,168610.572,290384.783,278957.22,415347.768,408026.16
H0,EUN,1201,European Union,WLD, World,Export,6,81370.008,59964.184,162443.367,51859.217,96153.549,109768.147,182484.95
H0,HRV,1201,Croatia,WLD, World,Export,6,68610.512,63561.632,102079.588,57958.763,80975.051,115607.415,130701.831
H0,ROM,1201,Romania,WLD, World,Export,6,44300.412,47117.632,117209.571,59019.646,109189.503,75087.742,104196.86
H0,CHN,1201,China,WLD, World,Export,6,125514.615,108425.156,91157.243,100020.826,92269.015,71392.602,85061.17
H0,FRA,1201,France,WLD, World,Export,6,34513.318,52143.696,48460.242,75589.277,69631.241,99134.547,77626.633
H0,TZA,1201,Tanzania,WLD, World,Export,6,,395.009,1608.977,9357.696,4713.717,2173.166,75474.179
H0,AUT,1201,Austria,WLD, World,Export,6,37531.394,43429.963,48594.927,50169.605,62075.076,70351.763,68916.772
H0,TUR,1201,Turkey,WLD, World,Export,6,105574.478,149295.529,78885.174,33486.866,45785.336,37047.877,61699.757
H0,HUN,1201,Hungary,WLD, World,Export,6,20753.104,36202.852,57403.522,23740.621,35847.63,44006.584,53563.92
H0,SVK,1201,Slovak Republic,WLD, World,Export,6,26394.948,23047.815,24671.146,26003.759,22659.861,41389.319,51885.055
